"chr","coord","gene_name","refseqID","rel_location","utr5_st","utr5_end","cds_st","cds_end","utr3_st","utr3_end","utr5_size","cds_size","utr3_size"
"chr1",58782442,"JUN","ENST00000371222.4",1.63152610441767,1605,629,628,-367,-368,-1651,976,995,1283
"chr1",58782454,"JUN","ENST00000371222.4",1.61947791164659,1593,617,616,-379,-380,-1663,976,995,1283
"chr1",58782457,"JUN","ENST00000371222.4",1.61646586345382,1590,614,613,-382,-383,-1666,976,995,1283
"chr1",58782460,"JUN","ENST00000371222.4",1.61345381526104,1587,611,610,-385,-386,-1669,976,995,1283
"chr1",58782463,"JUN","ENST00000371222.4",1.61044176706827,1584,608,607,-388,-389,-1672,976,995,1283
"chr1",58782466,"JUN","ENST00000371222.4",1.6074297188755,1581,605,604,-391,-392,-1675,976,995,1283
"chr1",58782472,"JUN","ENST00000371222.4",1.60140562248996,1575,599,598,-397,-398,-1681,976,995,1283
"chr1",58782502,"JUN","ENST00000371222.4",1.57128514056225,1545,569,568,-427,-428,-1711,976,995,1283
"chr1",58782524,"JUN","ENST00000371222.4",1.54919678714859,1523,547,546,-449,-450,-1733,976,995,1283
"chr1",58782527,"JUN","ENST00000371222.4",1.54618473895582,1520,544,543,-452,-453,-1736,976,995,1283
"chr1",58782537,"JUN","ENST00000371222.4",1.53614457831325,1510,534,533,-462,-463,-1746,976,995,1283
"chr1",58782548,"JUN","ENST00000371222.4",1.52510040160643,1499,523,522,-473,-474,-1757,976,995,1283
"chr1",58782562,"JUN","ENST00000371222.4",1.51104417670683,1485,509,508,-487,-488,-1771,976,995,1283
"chr1",58782578,"JUN","ENST00000371222.4",1.49497991967871,1469,493,492,-503,-504,-1787,976,995,1283
"chr1",58782587,"JUN","ENST00000371222.4",1.4859437751004,1460,484,483,-512,-513,-1796,976,995,1283
"chr1",58782593,"JUN","ENST00000371222.4",1.47991967871486,1454,478,477,-518,-519,-1802,976,995,1283
"chr1",58782605,"JUN","ENST00000371222.4",1.46787148594378,1442,466,465,-530,-531,-1814,976,995,1283
"chr1",58782611,"JUN","ENST00000371222.4",1.46184738955823,1436,460,459,-536,-537,-1820,976,995,1283
"chr1",58782618,"JUN","ENST00000371222.4",1.45481927710843,1429,453,452,-543,-544,-1827,976,995,1283
"chr1",58782647,"JUN","ENST00000371222.4",1.42570281124498,1400,424,423,-572,-573,-1856,976,995,1283
"chr1",58782651,"JUN","ENST00000371222.4",1.42168674698795,1396,420,419,-576,-577,-1860,976,995,1283
"chr1",58782659,"JUN","ENST00000371222.4",1.4136546184739,1388,412,411,-584,-585,-1868,976,995,1283
"chr1",58782667,"JUN","ENST00000371222.4",1.40562248995984,1380,404,403,-592,-593,-1876,976,995,1283
"chr1",58782680,"JUN","ENST00000371222.4",1.3925702811245,1367,391,390,-605,-606,-1889,976,995,1283
"chr1",58782686,"JUN","ENST00000371222.4",1.38654618473896,1361,385,384,-611,-612,-1895,976,995,1283
"chr1",58782700,"JUN","ENST00000371222.4",1.37248995983936,1347,371,370,-625,-626,-1909,976,995,1283
"chr1",58782704,"JUN","ENST00000371222.4",1.36847389558233,1343,367,366,-629,-630,-1913,976,995,1283
"chr1",58782706,"JUN","ENST00000371222.4",1.36646586345382,1341,365,364,-631,-632,-1915,976,995,1283
"chr1",58782711,"JUN","ENST00000371222.4",1.36144578313253,1336,360,359,-636,-637,-1920,976,995,1283
"chr1",58782751,"JUN","ENST00000371222.4",1.32128514056225,1296,320,319,-676,-677,-1960,976,995,1283
"chr1",58782759,"JUN","ENST00000371222.4",1.31325301204819,1288,312,311,-684,-685,-1968,976,995,1283
"chr1",58782769,"JUN","ENST00000371222.4",1.30321285140562,1278,302,301,-694,-695,-1978,976,995,1283
"chr1",58782770,"JUN","ENST00000371222.4",1.30220883534137,1277,301,300,-695,-696,-1979,976,995,1283
"chr1",58782784,"JUN","ENST00000371222.4",1.28815261044177,1263,287,286,-709,-710,-1993,976,995,1283
"chr1",58782800,"JUN","ENST00000371222.4",1.27208835341365,1247,271,270,-725,-726,-2009,976,995,1283
"chr1",58782803,"JUN","ENST00000371222.4",1.26907630522088,1244,268,267,-728,-729,-2012,976,995,1283
"chr1",58782811,"JUN","ENST00000371222.4",1.26104417670683,1236,260,259,-736,-737,-2020,976,995,1283
"chr1",58782817,"JUN","ENST00000371222.4",1.25502008032129,1230,254,253,-742,-743,-2026,976,995,1283
"chr1",58782821,"JUN","ENST00000371222.4",1.25100401606426,1226,250,249,-746,-747,-2030,976,995,1283
"chr1",58782826,"JUN","ENST00000371222.4",1.24598393574297,1221,245,244,-751,-752,-2035,976,995,1283
"chr1",58782863,"JUN","ENST00000371222.4",1.20883534136546,1184,208,207,-788,-789,-2072,976,995,1283
"chr1",58782887,"JUN","ENST00000371222.4",1.18473895582329,1160,184,183,-812,-813,-2096,976,995,1283
"chr1",58782904,"JUN","ENST00000371222.4",1.16767068273092,1143,167,166,-829,-830,-2113,976,995,1283
"chr1",58782905,"JUN","ENST00000371222.4",1.16666666666667,1142,166,165,-830,-831,-2114,976,995,1283
"chr1",58782916,"JUN","ENST00000371222.4",1.15562248995984,1131,155,154,-841,-842,-2125,976,995,1283
"chr1",58782936,"JUN","ENST00000371222.4",1.1355421686747,1111,135,134,-861,-862,-2145,976,995,1283
"chr1",58782959,"JUN","ENST00000371222.4",1.11244979919679,1088,112,111,-884,-885,-2168,976,995,1283
"chr1",58782964,"JUN","ENST00000371222.4",1.1074297188755,1083,107,106,-889,-890,-2173,976,995,1283
"chr1",58782976,"JUN","ENST00000371222.4",1.09538152610442,1071,95,94,-901,-902,-2185,976,995,1283
"chr1",58782986,"JUN","ENST00000371222.4",1.08534136546185,1061,85,84,-911,-912,-2195,976,995,1283
"chr1",58782988,"JUN","ENST00000371222.4",1.08333333333333,1059,83,82,-913,-914,-2197,976,995,1283
"chr1",58782994,"JUN","ENST00000371222.4",1.07730923694779,1053,77,76,-919,-920,-2203,976,995,1283
"chr1",58783006,"JUN","ENST00000371222.4",1.06526104417671,1041,65,64,-931,-932,-2215,976,995,1283
"chr1",58783027,"JUN","ENST00000371222.4",1.04417670682731,1020,44,43,-952,-953,-2236,976,995,1283
"chr1",58783052,"JUN","ENST00000371222.4",1.01907630522088,995,19,18,-977,-978,-2261,976,995,1283
"chr1",58783060,"JUN","ENST00000371222.4",1.01104417670683,987,11,10,-985,-986,-2269,976,995,1283
"chr1",58783067,"JUN","ENST00000371222.4",1.00401606425703,980,4,3,-992,-993,-2276,976,995,1283
"chr1",58783070,"JUN","ENST00000371222.4",1.00100401606426,977,1,0,-995,-996,-2279,976,995,1283
"chr1",153543770,"S100A4","ENST00000354332.8",1.9640522875817,408,295,294,-11,-12,-157,113,305,145
"chr1",153543775,"S100A4","ENST00000354332.8",1.94771241830065,403,290,289,-16,-17,-162,113,305,145
"chr1",153543783,"S100A4","ENST00000354332.8",1.92156862745098,395,282,281,-24,-25,-170,113,305,145
"chr1",153543799,"S100A4","ENST00000354332.8",1.86928104575163,379,266,265,-40,-41,-186,113,305,145
"chr1",153543800,"S100A4","ENST00000354332.8",1.86601307189542,378,265,264,-41,-42,-187,113,305,145
"chr1",153543818,"S100A4","ENST00000354332.8",1.80718954248366,360,247,246,-59,-60,-205,113,305,145
"chr1",153543820,"S100A4","ENST00000354332.8",1.80065359477124,358,245,244,-61,-62,-207,113,305,145
"chr1",153543829,"S100A4","ENST00000354332.8",1.77124183006536,349,236,235,-70,-71,-216,113,305,145
"chr1",153543830,"S100A4","ENST00000354332.8",1.76797385620915,348,235,234,-71,-72,-217,113,305,145
"chr1",153543831,"S100A4","ENST00000354332.8",1.76470588235294,347,234,233,-72,-73,-218,113,305,145
"chr1",153543832,"S100A4","ENST00000354332.8",1.76143790849673,346,233,232,-73,-74,-219,113,305,145
"chr1",153543833,"S100A4","ENST00000354332.8",1.75816993464052,345,232,231,-74,-75,-220,113,305,145
"chr1",153543834,"S100A4","ENST00000354332.8",1.75490196078431,344,231,230,-75,-76,-221,113,305,145
"chr1",153543836,"S100A4","ENST00000354332.8",1.7483660130719,342,229,228,-77,-78,-223,113,305,145
"chr1",153543839,"S100A4","ENST00000354332.8",1.73856209150327,339,226,225,-80,-81,-226,113,305,145
"chr1",153543846,"S100A4","ENST00000354332.8",1.7156862745098,332,219,218,-87,-88,-233,113,305,145
"chr1",153543847,"S100A4","ENST00000354332.8",1.71241830065359,331,218,217,-88,-89,-234,113,305,145
"chr1",153543855,"S100A4","ENST00000354332.8",1.68627450980392,323,210,209,-96,-97,-242,113,305,145
"chr1",153543863,"S100A4","ENST00000354332.8",1.66013071895425,315,202,201,-104,-105,-250,113,305,145
"chr1",153543869,"S100A4","ENST00000354332.8",1.64052287581699,309,196,195,-110,-111,-256,113,305,145
"chr1",153543872,"S100A4","ENST00000354332.8",1.63071895424837,306,193,192,-113,-114,-259,113,305,145
"chr1",153543875,"S100A4","ENST00000354332.8",1.62091503267974,303,190,189,-116,-117,-262,113,305,145
"chr1",153543898,"S100A4","ENST00000354332.8",1.54575163398693,280,167,166,-139,-140,-285,113,305,145
"chr1",153543901,"S100A4","ENST00000354332.8",1.5359477124183,277,164,163,-142,-143,-288,113,305,145
"chr1",153543905,"S100A4","ENST00000354332.8",1.52287581699346,273,160,159,-146,-147,-292,113,305,145
"chr1",153544665,"S100A4","ENST00000354332.8",1.42483660130719,243,130,129,-176,-177,-322,113,305,145
"chr1",153544676,"S100A4","ENST00000354332.8",1.38888888888889,232,119,118,-187,-188,-333,113,305,145
"chr1",153544699,"S100A4","ENST00000354332.8",1.31372549019608,209,96,95,-210,-211,-356,113,305,145
"chr1",153544719,"S100A4","ENST00000354332.8",1.2483660130719,189,76,75,-230,-231,-376,113,305,145
"chr1",153544721,"S100A4","ENST00000354332.8",1.24183006535948,187,74,73,-232,-233,-378,113,305,145
"chr1",153544731,"S100A4","ENST00000354332.8",1.20915032679739,177,64,63,-242,-243,-388,113,305,145
"chr1",153544742,"S100A4","ENST00000354332.8",1.17320261437909,166,53,52,-253,-254,-399,113,305,145
"chr1",153544745,"S100A4","ENST00000354332.8",1.16339869281046,163,50,49,-256,-257,-402,113,305,145
"chr1",153544766,"S100A4","ENST00000354332.8",1.09477124183007,142,29,28,-277,-278,-423,113,305,145
"chr1",153547705,"S100A3","ENST00000368713.8",1.92483660130719,365,283,282,-23,-24,-376,82,305,352
"chr1",153547713,"S100A3","ENST00000368713.8",1.89869281045752,357,275,274,-31,-32,-384,82,305,352
"chr1",153547716,"S100A3","ENST00000368713.8",1.88888888888889,354,272,271,-34,-35,-387,82,305,352
"chr1",153547717,"S100A3","ENST00000368713.8",1.88562091503268,353,271,270,-35,-36,-388,82,305,352
"chr1",153547728,"S100A3","ENST00000368713.8",1.84967320261438,342,260,259,-46,-47,-399,82,305,352
"chr1",153547764,"S100A3","ENST00000368713.8",1.73202614379085,306,224,223,-82,-83,-435,82,305,352
"chr1",153547776,"S100A3","ENST00000368713.8",1.69281045751634,294,212,211,-94,-95,-447,82,305,352
"chr1",153547788,"S100A3","ENST00000368713.8",1.65359477124183,282,200,199,-106,-107,-459,82,305,352
"chr1",153547792,"S100A3","ENST00000368713.8",1.64052287581699,278,196,195,-110,-111,-463,82,305,352
"chr1",153547795,"S100A3","ENST00000368713.8",1.63071895424837,275,193,192,-113,-114,-466,82,305,352
"chr1",153547832,"S100A3","ENST00000368713.8",1.50980392156863,238,156,155,-150,-151,-503,82,305,352
"chr10",32901579,"ITGB1","ENST00000302278.8",1.99624530663329,2473,2388,2387,-9,-10,-1261,85,2396,1251
"chr10",32901587,"ITGB1","ENST00000302278.8",1.99290780141844,2465,2380,2379,-17,-18,-1269,85,2396,1251
"chr10",32901590,"ITGB1","ENST00000302278.8",1.99165623696287,2462,2377,2376,-20,-21,-1272,85,2396,1251
"chr10",32901608,"ITGB1","ENST00000302278.8",1.98414685022945,2444,2359,2358,-38,-39,-1290,85,2396,1251
"chr10",32901619,"ITGB1","ENST00000302278.8",1.97955778055903,2433,2348,2347,-49,-50,-1301,85,2396,1251
"chr10",73912942,"PLAU","ENST00000372764.4",1.16358024691358,329,212,211,-1084,-1085,-2013,117,1295,928
"chr10",73912980,"PLAU","ENST00000372764.4",1.1929012345679,367,250,249,-1046,-1047,-1975,117,1295,928
"chr10",73912986,"PLAU","ENST00000372764.4",1.19753086419753,373,256,255,-1040,-1041,-1969,117,1295,928
"chr10",73912989,"PLAU","ENST00000372764.4",1.19984567901235,376,259,258,-1037,-1038,-1966,117,1295,928
"chr10",73913032,"PLAU","ENST00000372764.4",1.23302469135802,419,302,301,-994,-995,-1923,117,1295,928
"chr10",73913050,"PLAU","ENST00000372764.4",1.24691358024691,437,320,319,-976,-977,-1905,117,1295,928
"chr10",73913052,"PLAU","ENST00000372764.4",1.24845679012346,439,322,321,-974,-975,-1903,117,1295,928
"chr10",73913086,"PLAU","ENST00000372764.4",1.27469135802469,473,356,355,-940,-941,-1869,117,1295,928
"chr10",73913088,"PLAU","ENST00000372764.4",1.27623456790123,475,358,357,-938,-939,-1867,117,1295,928
"chr10",73913296,"PLAU","ENST00000372764.4",1.28935185185185,492,375,374,-921,-922,-1850,117,1295,928
"chr10",73913328,"PLAU","ENST00000372764.4",1.31404320987654,524,407,406,-889,-890,-1818,117,1295,928
"chr10",73913352,"PLAU","ENST00000372764.4",1.33256172839506,548,431,430,-865,-866,-1794,117,1295,928
"chr10",73913353,"PLAU","ENST00000372764.4",1.33333333333333,549,432,431,-864,-865,-1793,117,1295,928
"chr10",73913367,"PLAU","ENST00000372764.4",1.34413580246914,563,446,445,-850,-851,-1779,117,1295,928
"chr10",73913377,"PLAU","ENST00000372764.4",1.35185185185185,573,456,455,-840,-841,-1769,117,1295,928
"chr10",73913561,"PLAU","ENST00000372764.4",1.37268518518519,600,483,482,-813,-814,-1742,117,1295,928
"chr10",73913590,"PLAU","ENST00000372764.4",1.39506172839506,629,512,511,-784,-785,-1713,117,1295,928
"chr10",73913647,"PLAU","ENST00000372764.4",1.43904320987654,686,569,568,-727,-728,-1656,117,1295,928
"chr10",73913670,"PLAU","ENST00000372764.4",1.45679012345679,709,592,591,-704,-705,-1633,117,1295,928
"chr10",73913694,"PLAU","ENST00000372764.4",1.47530864197531,733,616,615,-680,-681,-1609,117,1295,928
"chr10",73913698,"PLAU","ENST00000372764.4",1.4783950617284,737,620,619,-676,-677,-1605,117,1295,928
"chr10",73913721,"PLAU","ENST00000372764.4",1.49614197530864,760,643,642,-653,-654,-1582,117,1295,928
"chr10",73913739,"PLAU","ENST00000372764.4",1.51003086419753,778,661,660,-635,-636,-1564,117,1295,928
"chr10",73913745,"PLAU","ENST00000372764.4",1.51466049382716,784,667,666,-629,-630,-1558,117,1295,928
"chr10",73914025,"PLAU","ENST00000372764.4",1.56018518518519,843,726,725,-570,-571,-1499,117,1295,928
"chr10",73914051,"PLAU","ENST00000372764.4",1.58024691358025,869,752,751,-544,-545,-1473,117,1295,928
"chr10",73914053,"PLAU","ENST00000372764.4",1.58179012345679,871,754,753,-542,-543,-1471,117,1295,928
"chr10",73914056,"PLAU","ENST00000372764.4",1.5841049382716,874,757,756,-539,-540,-1468,117,1295,928
"chr10",73914095,"PLAU","ENST00000372764.4",1.6141975308642,913,796,795,-500,-501,-1429,117,1295,928
"chr10",73914114,"PLAU","ENST00000372764.4",1.62885802469136,932,815,814,-481,-482,-1410,117,1295,928
"chr10",73914117,"PLAU","ENST00000372764.4",1.63117283950617,935,818,817,-478,-479,-1407,117,1295,928
"chr10",73914791,"PLAU","ENST00000372764.4",1.65200617283951,962,845,844,-451,-452,-1380,117,1295,928
"chr10",73914796,"PLAU","ENST00000372764.4",1.65586419753086,967,850,849,-446,-447,-1375,117,1295,928
"chr10",73914805,"PLAU","ENST00000372764.4",1.66280864197531,976,859,858,-437,-438,-1366,117,1295,928
"chr10",73914815,"PLAU","ENST00000372764.4",1.67052469135802,986,869,868,-427,-428,-1356,117,1295,928
"chr10",73914833,"PLAU","ENST00000372764.4",1.68441358024691,1004,887,886,-409,-410,-1338,117,1295,928
"chr10",73914879,"PLAU","ENST00000372764.4",1.71990740740741,1050,933,932,-363,-364,-1292,117,1295,928
"chr10",73914892,"PLAU","ENST00000372764.4",1.72993827160494,1063,946,945,-350,-351,-1279,117,1295,928
"chr10",73915257,"PLAU","ENST00000372764.4",1.75385802469136,1094,977,976,-319,-320,-1248,117,1295,928
"chr10",73915272,"PLAU","ENST00000372764.4",1.76543209876543,1109,992,991,-304,-305,-1233,117,1295,928
"chr10",73915305,"PLAU","ENST00000372764.4",1.7908950617284,1142,1025,1024,-271,-272,-1200,117,1295,928
"chr10",73915320,"PLAU","ENST00000372764.4",1.80246913580247,1157,1040,1039,-256,-257,-1185,117,1295,928
"chr10",73915332,"PLAU","ENST00000372764.4",1.81172839506173,1169,1052,1051,-244,-245,-1173,117,1295,928
"chr10",73915375,"PLAU","ENST00000372764.4",1.84490740740741,1212,1095,1094,-201,-202,-1130,117,1295,928
"chr10",73915377,"PLAU","ENST00000372764.4",1.84645061728395,1214,1097,1096,-199,-200,-1128,117,1295,928
"chr10",73915387,"PLAU","ENST00000372764.4",1.85416666666667,1224,1107,1106,-189,-190,-1118,117,1295,928
"chr10",73915398,"PLAU","ENST00000372764.4",1.86265432098765,1235,1118,1117,-178,-179,-1107,117,1295,928
"chr10",73916423,"PLAU","ENST00000372764.4",1.89043209876543,1271,1154,1153,-142,-143,-1071,117,1295,928
"chr10",73916431,"PLAU","ENST00000372764.4",1.8966049382716,1279,1162,1161,-134,-135,-1063,117,1295,928
"chr10",73916440,"PLAU","ENST00000372764.4",1.90354938271605,1288,1171,1170,-125,-126,-1054,117,1295,928
"chr10",73916466,"PLAU","ENST00000372764.4",1.92361111111111,1314,1197,1196,-99,-100,-1028,117,1295,928
"chr10",73916480,"PLAU","ENST00000372764.4",1.93441358024691,1328,1211,1210,-85,-86,-1014,117,1295,928
"chr10",73916497,"PLAU","ENST00000372764.4",1.94753086419753,1345,1228,1227,-68,-69,-997,117,1295,928
"chr10",73916528,"PLAU","ENST00000372764.4",1.97145061728395,1376,1259,1258,-37,-38,-966,117,1295,928
"chr10",73916530,"PLAU","ENST00000372764.4",1.97299382716049,1378,1261,1260,-35,-36,-964,117,1295,928
"chr10",73916563,"PLAU","ENST00000372764.4",1.99845679012346,1411,1294,1293,-2,-3,-931,117,1295,928
"chr10",73916564,"PLAU","ENST00000372764.4",1.99922839506173,1412,1295,1294,-1,-2,-930,117,1295,928
"chr11",20382996,"HTATIP2","ENST00000419348.6",1.74849578820698,690,622,621,-209,-210,-786,68,830,576
"chr11",20383001,"HTATIP2","ENST00000419348.6",1.75451263537906,695,627,626,-204,-205,-781,68,830,576
"chr11",20383013,"HTATIP2","ENST00000419348.6",1.76895306859206,707,639,638,-192,-193,-769,68,830,576
"chr11",20383049,"HTATIP2","ENST00000419348.6",1.81227436823105,743,675,674,-156,-157,-733,68,830,576
"chr11",20383052,"HTATIP2","ENST00000419348.6",1.8158844765343,746,678,677,-153,-154,-730,68,830,576
"chr11",20383054,"HTATIP2","ENST00000419348.6",1.81829121540313,748,680,679,-151,-152,-728,68,830,576
"chr11",20383065,"HTATIP2","ENST00000419348.6",1.83152827918171,759,691,690,-140,-141,-717,68,830,576
"chr11",20383103,"HTATIP2","ENST00000419348.6",1.87725631768953,797,729,728,-102,-103,-679,68,830,576
"chr11",20383127,"HTATIP2","ENST00000419348.6",1.90613718411552,821,753,752,-78,-79,-655,68,830,576
"chr11",20383128,"HTATIP2","ENST00000419348.6",1.90734055354994,822,754,753,-77,-78,-654,68,830,576
"chr11",20383138,"HTATIP2","ENST00000419348.6",1.9193742478941,832,764,763,-67,-68,-644,68,830,576
"chr11",20383158,"HTATIP2","ENST00000419348.6",1.94344163658243,852,784,783,-47,-48,-624,68,830,576
"chr11",20383168,"HTATIP2","ENST00000419348.6",1.95547533092659,862,794,793,-37,-38,-614,68,830,576
"chr11",20383186,"HTATIP2","ENST00000419348.6",1.97713598074609,880,812,811,-19,-20,-596,68,830,576
"chr11",62593879,"MTA2","ENST00000278823.7",1.99800697558545,2417,2003,2002,-4,-5,-665,414,2006,660
"chr11",62593882,"MTA2","ENST00000278823.7",1.99651220727454,2414,2000,1999,-7,-8,-668,414,2006,660
"chr11",62593907,"MTA2","ENST00000278823.7",1.98405580468361,2389,1975,1974,-32,-33,-693,414,2006,660
"chr11",62593929,"MTA2","ENST00000278823.7",1.97309417040359,2367,1953,1952,-54,-55,-715,414,2006,660
"chr11",62594034,"MTA2","ENST00000278823.7",1.92077727952167,2262,1848,1847,-159,-160,-820,414,2006,660
"chr11",62594260,"MTA2","ENST00000278823.7",1.91679123069258,2254,1840,1839,-167,-168,-828,414,2006,660
"chr11",62594263,"MTA2","ENST00000278823.7",1.91529646238166,2251,1837,1836,-170,-171,-831,414,2006,660
"chr11",62594270,"MTA2","ENST00000278823.7",1.9118086696562,2244,1830,1829,-177,-178,-838,414,2006,660
"chr11",62594272,"MTA2","ENST00000278823.7",1.91081215744893,2242,1828,1827,-179,-180,-840,414,2006,660
"chr11",62594293,"MTA2","ENST00000278823.7",1.90034877927255,2221,1807,1806,-200,-201,-861,414,2006,660
"chr11",62594306,"MTA2","ENST00000278823.7",1.89387144992526,2208,1794,1793,-213,-214,-874,414,2006,660
"chr11",62594311,"MTA2","ENST00000278823.7",1.89138016940708,2203,1789,1788,-218,-219,-879,414,2006,660
"chr11",62594312,"MTA2","ENST00000278823.7",1.89088191330344,2202,1788,1787,-219,-220,-880,414,2006,660
"chr11",62594330,"MTA2","ENST00000278823.7",1.88191330343797,2184,1770,1769,-237,-238,-898,414,2006,660
"chr11",62594337,"MTA2","ENST00000278823.7",1.87842551071251,2177,1763,1762,-244,-245,-905,414,2006,660
"chr11",62594357,"MTA2","ENST00000278823.7",1.86846038863976,2157,1743,1742,-264,-265,-925,414,2006,660
"chr11",62594377,"MTA2","ENST00000278823.7",1.85849526656702,2137,1723,1722,-284,-285,-945,414,2006,660
"chr11",62594396,"MTA2","ENST00000278823.7",1.84902840059791,2118,1704,1703,-303,-304,-964,414,2006,660
"chr11",62594402,"MTA2","ENST00000278823.7",1.84603886397608,2112,1698,1697,-309,-310,-970,414,2006,660
"chr11",62594407,"MTA2","ENST00000278823.7",1.8435475834579,2107,1693,1692,-314,-315,-975,414,2006,660
"chr11",62594539,"MTA2","ENST00000278823.7",1.8315894369706,2083,1669,1668,-338,-339,-999,414,2006,660
"chr11",62594562,"MTA2","ENST00000278823.7",1.82012954658695,2060,1646,1645,-361,-362,-1022,414,2006,660
"chr11",62594571,"MTA2","ENST00000278823.7",1.81564524165421,2051,1637,1636,-370,-371,-1031,414,2006,660
"chr11",62594575,"MTA2","ENST00000278823.7",1.81365221723966,2047,1633,1632,-374,-375,-1035,414,2006,660
"chr11",62594578,"MTA2","ENST00000278823.7",1.81215744892875,2044,1630,1629,-377,-378,-1038,414,2006,660
"chr11",62594592,"MTA2","ENST00000278823.7",1.80518186347783,2030,1616,1615,-391,-392,-1052,414,2006,660
"chr11",62594988,"MTA2","ENST00000278823.7",1.78026905829596,1980,1566,1565,-441,-442,-1102,414,2006,660
"chr11",62595043,"MTA2","ENST00000278823.7",1.75286497259591,1925,1511,1510,-496,-497,-1157,414,2006,660
"chr11",62595268,"MTA2","ENST00000278823.7",1.73692077727952,1893,1479,1478,-528,-529,-1189,414,2006,660
"chr11",62595307,"MTA2","ENST00000278823.7",1.71748878923767,1854,1440,1439,-567,-568,-1228,414,2006,660
"chr11",62595318,"MTA2","ENST00000278823.7",1.71200797209766,1843,1429,1428,-578,-579,-1239,414,2006,660
